Formatted Date,Summary,Precip Type,Temperature,Apparent_Temperature,Humidity,Wind_Speed,Wind_Bearing,Visibility,Loud Cover,Pressure (millibars),Daily Summary
2007-05-09 07:00:00.000 +0200,Mostly Cloudy,rain,12.77777777777778,12.77777777777778,0.83,12.7351,262.0,11.2056,0.0,1014.5,Mostly cloudy throughout the day.
2008-02-08 08:00:00.000 +0100,Mostly Cloudy,rain,1.0388888888888874,-3.9166666666666665,0.76,20.0445,350.0,9.982,0.0,1035.96,Mostly cloudy throughout the day.
2016-09-09 09:00:00.000 +0200,Partly Cloudy,rain,22.13888888888889,22.13888888888889,0.65,7.776300000000001,30.0,16.1,0.0,1015.46,Partly cloudy starting in the morning.
2007-06-16 01:00:00.000 +0200,Partly Cloudy,rain,20.511111111111116,20.511111111111116,0.78,6.44,130.0,15.826300000000002,0.0,1007.87,Partly cloudy until night.
2007-04-14 17:00:00.000 +0200,Clear,rain,21.411111111111115,21.411111111111115,0.28,15.955100000000002,18.0,10.3523,0.0,1021.59,Clear throughout the day.
2010-01-14 08:00:00.000 +0100,Mostly Cloudy,snow,-0.0222222222222217,-0.0222222222222217,0.86,4.7495,21.0,4.4275,0.0,1016.38,Foggy starting overnight continuing until morning.
2006-01-12 12:00:00.000 +0100,Mostly Cloudy,rain,0.1388888888888889,-2.805555555555556,0.85,8.8389,198.0,4.83,0.0,1034.91,Foggy starting overnight continuing until morning.
2009-08-13 14:00:00.000 +0200,Mostly Cloudy,rain,29.738888888888887,28.944444444444443,0.35,14.4095,239.0,10.3684,0.0,1014.82,Mostly cloudy throughout the day.
2013-01-13 02:00:00.000 +0100,Overcast,snow,-2.2222222222222223,-4.622222222222223,0.86,6.1341,101.0,14.6349,0.0,1020.29,Mostly cloudy throughout the day.
2007-08-03 01:00:00.000 +0200,Clear,rain,15.116666666666667,15.116666666666667,0.6,3.22,183.0,15.826300000000002,0.0,1015.37,Mostly cloudy starting in the afternoon.
2015-05-16 00:00:00.000 +0200,Mostly Cloudy,rain,13.266666666666667,13.266666666666667,0.93,6.279,351.0,7.4543,0.0,1017.25,Mostly cloudy throughout the day.
2010-01-08 21:00:00.000 +0100,Breezy and Overcast,rain,8.933333333333332,5.227777777777776,0.76,29.607900000000004,148.0,14.6832,0.0,1004.83,Foggy starting in the morning continuing until afternoon and breezy starting in the evening.
2013-12-06 03:00:00.000 +0100,Overcast,snow,-0.5333333333333338,-4.088888888888889,0.92,10.6099,191.0,4.9910000000000005,0.0,1012.12,Foggy overnight.
2015-11-16 20:00:00.000 +0100,Partly Cloudy,rain,8.661111111111113,8.661111111111113,0.93,3.22,190.0,15.7297,0.0,1018.22,Mostly cloudy until evening and breezy starting overnight continuing until morning.
2014-12-13 17:00:00.000 +0100,Mostly Cloudy,rain,6.155555555555555,3.338888888888888,0.79,14.023100000000005,160.0,9.982,0.0,1020.43,Partly cloudy starting in the morning.
2006-04-27 03:00:00.000 +0200,Partly Cloudy,rain,12.82222222222222,12.82222222222222,0.82,6.2468,48.0,15.826300000000002,0.0,1013.04,Mostly cloudy throughout the day.
2008-07-05 16:00:00.000 +0200,Partly Cloudy,rain,27.661111111111115,26.744444444444444,0.27,25.277,310.0,9.982,0.0,1011.09,Partly cloudy until night.
2006-10-19 12:00:00.000 +0200,Partly Cloudy,rain,13.816666666666666,13.816666666666666,0.37,21.8638,149.0,9.982,0.0,1016.77,Partly cloudy starting in the morning.
2015-02-24 22:00:00.000 +0100,Clear,rain,5.450000000000001,4.3277777777777775,0.93,5.7799000000000005,342.0,4.9588,0.0,1006.24,Foggy in the morning.
2016-04-27 04:00:00.000 +0200,Mostly Cloudy,rain,5.5777777777777775,2.216666666666668,0.73,16.8245,150.0,16.1,0.0,1009.84,Mostly cloudy starting overnight.
2006-12-29 05:00:00.000 +0100,Foggy,snow,-3.744444444444443,-7.1000000000000005,0.99,7.953400000000001,242.0,2.9785000000000004,0.0,1027.03,Foggy until morning.
2010-11-21 10:00:00.000 +0100,Mostly Cloudy,rain,8.722222222222223,6.977777777777779,0.93,10.8192,124.0,9.2897,0.0,1014.87,Foggy starting overnight continuing until morning.
2008-12-21 13:00:00.000 +0100,Partly Cloudy,rain,7.794444444444445,3.683333333333335,0.66,30.461200000000005,329.0,11.4471,0.0,1022.83,Partly cloudy starting overnight continuing until evening and breezy starting in the morning continuing until afternoon.
2011-09-06 20:00:00.000 +0200,Partly Cloudy,rain,17.650000000000002,17.650000000000002,0.79,4.1055,54.0,10.3523,0.0,1019.97,Partly cloudy until evening.
2009-06-27 13:00:00.000 +0200,Partly Cloudy,rain,22.77777777777778,22.77777777777778,0.66,4.83,160.0,11.27,0.0,1010.2,Foggy starting overnight continuing until morning.
2010-10-05 14:00:00.000 +0200,Mostly Cloudy,rain,12.505555555555553,12.505555555555553,0.9,16.5025,96.0,11.125100000000002,0.0,1015.9,Mostly cloudy throughout the day.
2010-08-30 13:00:00.000 +0200,Partly Cloudy,rain,21.08333333333333,21.08333333333333,0.42,10.9158,71.0,10.0464,0.0,1009.59,Mostly cloudy until night.
2015-12-02 18:00:00.000 +0100,Mostly Cloudy,rain,8.75,6.272222222222222,0.84,15.939000000000002,251.0,16.0517,0.0,1028.43,Mostly cloudy until evening.
2013-07-21 02:00:00.000 +0200,Mostly Cloudy,rain,18.79444444444444,18.79444444444444,0.53,13.685,21.0,14.9569,0.0,1017.02,Partly cloudy until evening.
2006-04-01 21:00:00.000 +0200,Mostly Cloudy,rain,11.183333333333334,11.183333333333334,0.76,4.9266000000000005,160.0,9.982,0.0,1015.77,Partly cloudy throughout the day.
2016-01-03 05:00:00.000 +0100,Overcast,snow,-5.166666666666667,-10.22222222222222,0.69,12.6868,70.0,15.826300000000002,0.0,1021.14,Mostly cloudy throughout the day.
2011-04-13 20:00:00.000 +0200,Partly Cloudy,rain,7.777777777777778,3.938888888888891,0.62,26.887,312.0,10.3523,0.0,1011.51,Breezy in the morning and mostly cloudy starting in the morning.
2015-03-18 03:00:00.000 +0100,Partly Cloudy,rain,4.127777777777777,1.6388888888888904,0.65,9.9659,158.0,12.2521,0.0,1027.69,Partly cloudy until night.
2009-05-02 10:00:00.000 +0200,Partly Cloudy,rain,15.0,15.0,0.42,25.76,350.0,9.982,0.0,1018.3,Partly cloudy starting overnight.
2009-04-16 13:00:00.000 +0200,Partly Cloudy,rain,21.11111111111111,21.11111111111111,0.41,4.83,100.0,9.982,0.0,1014.9,Partly cloudy starting in the afternoon continuing until night.
2013-04-29 23:00:00.000 +0200,Clear,rain,20.32777777777778,20.32777777777778,0.55,9.338,162.0,15.3111,0.0,1019.07,Partly cloudy until night.
2011-09-30 21:00:00.000 +0200,Clear,rain,13.866666666666667,13.866666666666667,0.68,7.905100000000001,339.0,9.982,0.0,1026.31,Partly cloudy starting in the morning continuing until evening.
2012-09-28 19:00:00.000 +0200,Mostly Cloudy,rain,16.13888888888889,16.13888888888889,0.86,4.7012,161.0,11.2056,0.0,1021.28,Mostly cloudy throughout the day.
2007-02-25 07:00:00.000 +0100,Mostly Cloudy,snow,-2.166666666666666,-8.022222222222222,0.6,20.447,140.0,11.0285,0.0,1018.23,Mostly cloudy until night.
2014-10-07 07:00:00.000 +0200,Overcast,rain,12.755555555555556,12.755555555555556,0.78,10.722600000000002,100.0,9.7083,0.0,1019.69,Mostly cloudy until evening.
2013-06-23 11:00:00.000 +0200,Mostly Cloudy,rain,25.0,25.0,0.74,6.8908000000000005,168.0,11.4471,0.0,1012.12,Mostly cloudy throughout the day.
2014-09-13 21:00:00.000 +0200,Mostly Cloudy,rain,16.13888888888889,16.13888888888889,0.93,9.5312,15.0,9.8532,0.0,1015.41,Mostly cloudy throughout the day.
2010-11-20 16:00:00.000 +0100,Foggy,rain,7.461111111111112,6.916666666666668,0.99,4.9266000000000005,138.0,0.5474000000000001,0.0,1019.83,Foggy throughout the day.
2015-04-16 16:00:00.000 +0200,Mostly Cloudy,rain,26.17777777777778,26.17777777777778,0.24,20.5919,240.0,16.1,0.0,1012.17,Partly cloudy throughout the day.
2015-06-28 15:00:00.000 +0200,Mostly Cloudy,rain,24.8,24.8,0.55,14.007,358.0,9.982,0.0,1014.68,Mostly cloudy throughout the day.
2010-05-22 21:00:00.000 +0200,Partly Cloudy,rain,18.63333333333334,18.63333333333334,0.69,14.1519,330.0,8.1305,0.0,1013.65,Partly cloudy throughout the day.
2015-01-06 01:00:00.000 +0100,Partly Cloudy,snow,-0.0944444444444453,-4.8500000000000005,0.89,16.888900000000003,340.0,14.9569,0.0,1021.81,Partly cloudy until night.
2013-08-19 23:00:00.000 +0200,Partly Cloudy,rain,25.27777777777778,25.27777777777778,0.42,9.9981,91.0,15.1823,0.0,1013.0,Partly cloudy starting in the afternoon continuing until evening.
2009-07-05 01:00:00.000 +0200,Clear,rain,18.88888888888889,18.88888888888889,0.93,11.27,210.0,15.134000000000002,0.0,1008.2,Partly cloudy starting in the morning.
2010-12-27 15:00:00.000 +0100,Foggy,snow,-3.844444444444445,-8.238888888888887,0.91,11.237800000000002,301.0,1.7710000000000004,0.0,1023.94,Foggy starting in the afternoon.
2014-03-12 14:00:00.000 +0100,Partly Cloudy,rain,16.083333333333332,16.083333333333332,0.23,20.2377,1.0,16.1,0.0,1028.06,Partly cloudy starting in the afternoon continuing until evening.
2010-03-18 03:00:00.000 +0100,Mostly Cloudy,rain,1.211111111111111,-0.6333333333333336,0.82,6.0375000000000005,183.0,14.9086,0.0,1029.45,Mostly cloudy starting overnight continuing until evening.
2008-06-16 16:00:00.000 +0200,Partly Cloudy,rain,23.81666666666667,23.81666666666667,0.39,12.7029,221.0,9.982,0.0,1012.42,Partly cloudy throughout the day.
2009-06-20 09:00:00.000 +0200,Partly Cloudy,rain,21.11111111111111,21.11111111111111,0.63,12.88,330.0,11.27,0.0,1013.5,Partly cloudy throughout the day and breezy in the evening.
2007-04-06 03:00:00.000 +0200,Mostly Cloudy,rain,4.527777777777777,2.9888888888888903,0.63,6.6332,224.0,15.826300000000002,0.0,1016.21,Mostly cloudy until afternoon.
2006-09-15 03:00:00.000 +0200,Mostly Cloudy,rain,15.411111111111111,15.411111111111111,0.63,16.7923,108.0,15.826300000000002,0.0,1016.47,Mostly cloudy starting overnight continuing until afternoon.
2008-12-31 13:00:00.000 +0100,Foggy,snow,-6.03888888888889,-6.03888888888889,0.92,2.5760000000000005,313.0,0.9016000000000002,0.0,1026.56,Foggy starting overnight continuing until evening.
2006-10-26 14:00:00.000 +0200,Mostly Cloudy,rain,22.25555555555556,22.25555555555556,0.37,12.6707,154.0,10.3523,0.0,1022.74,Mostly cloudy starting overnight continuing until night.
2008-01-05 09:00:00.000 +0100,Mostly Cloudy,snow,-7.944444444444445,-13.45,0.68,12.1555,139.0,9.8049,0.0,1032.53,Mostly cloudy starting in the morning and breezy overnight.
2007-05-06 00:00:00.000 +0200,Mostly Cloudy,rain,15.52777777777778,15.52777777777778,0.87,11.9945,52.0,14.812,0.0,1006.56,Foggy in the morning.
2012-08-10 07:00:00.000 +0200,Partly Cloudy,rain,17.644444444444442,17.644444444444442,0.61,11.0446,10.0,9.982,0.0,1019.86,Partly cloudy until night.
2006-05-28 04:00:00.000 +0200,Mostly Cloudy,rain,15.0,15.0,0.87,5.796,189.0,15.8746,0.0,1017.15,Mostly cloudy throughout the day.
2012-02-11 14:00:00.000 +0100,Overcast,snow,-10.0,-14.483333333333333,0.73,8.05,330.0,4.9910000000000005,0.0,1028.9,Foggy starting overnight continuing until morning.
2012-09-26 13:00:00.000 +0200,Partly Cloudy,rain,28.838888888888885,27.922222222222224,0.33,20.3343,191.0,9.982,0.0,1012.95,Partly cloudy until night.
2009-02-05 20:00:00.000 +0100,Mostly Cloudy,rain,10.0,8.205555555555557,0.83,12.88,180.0,11.27,0.0,1005.8,Foggy starting overnight continuing until morning.
